faculty,application,lowest_score,highest_score
دیپارتمنت علوم حیوانی پوهنځی زراعت پوهنتون پروان,43,161.3036,202.5104
دیپارتمنت علوم سیاسی و روابط بین الملل  پوهنځی حقوق و علوم سیاسی پوهنتون پروان (مدارس),43,156.8432,201.2647
انستیتیوت کثیر الرشتوی مرکز ولایت پروان,43,144.8449,201.0696
دیپارتمنت زبان و ادبیات فرانسوی پوهنځی زبان و ادبیات پوهنتون پروان,43,157.1849,198.3952
دیپارتمنت زبان و ادبیات فارسی دری پوهنځی زبان و ادبیات پوهنتون پروان,43,170.5715,198.0081
انستیتیوت کثیرالرشتوی ولسوالی بگرام ولایت پروان,43,144.7346,191.8984
دیپارتمنت تعلیمات اسلامی پوهنځی شرعیات پوهنتون پروان (مدارس),43,160.3221,186.901
دیپارتمنت زبان و ادبیات عربی پوهنځی زبان و ادبیات پوهنتون پروان (مدارس),43,151.8033,183.1225
دیپارتمنت جامعه شناسی پوهنځی علوم اجتماعی پوهنتون پروان,43,162.1287,182.9025
انستیتیوت کثیرالرشتوی ولسوالی شینواری ولایت پروان,43,163.6033,182.5084
